#Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G043.1651-00.0283,043.16510,-00.02828,287.59169,+09.08423,00.11,00.11,00242.92,00021.62,02714.29,00262.82,09.606,00.008,09.5,,,,,,,01.43,0.031,0169.0,P,0,0,0,1,1,0,1,0,0
G043.1652+00.0129,043.16517,+00.01290,287.55373,+09.10321,00.59,00.47,00098.11,00008.82,00160.07,00017.72,02.074,00.015,01.4,,,,,,,01.59,0.051,0060.9,P,0,1,0,1,1,0,1,0,0
G043.1657+00.0116,043.16574,+00.01164,287.55513,+09.10318,00.11,00.11,00065.21,00006.30,00098.25,00010.44,01.841,00.057,01.1,01.944,00.087,01.744,00.073,10.033,13.790,02.08,0.020,0034.8,G,0,1,0,1,1,0,1,1,0
G043.1665+00.0106,043.16648,+00.01057,287.55646,+09.10348,00.13,00.13,00218.73,00019.49,01365.68,00125.16,03.684,00.004,03.4,,,,,,,01.58,-0.028,0137.6,P,0,1,0,1,1,0,1,1,0
G043.1674+00.0128,043.16737,+00.01282,287.55485,+09.10516,01.03,00.91,00061.62,00005.62,00074.54,00009.28,01.732,00.022,,,,,,,,01.63,-0.184,0036.9,P,0,1,0,1,1,0,1,1,0
G043.1677+00.0196,043.16771,+00.01957,287.54900,+09.10913,00.91,00.89,00020.71,00002.09,00115.47,00017.88,04.158,00.047,03.9,,,,,,,01.63,-0.071,0011.7,P,0,0,0,1,1,0,1,0,0
G043.1684+00.0087,043.16841,+00.00866,287.55894,+09.10417,00.53,00.52,00078.74,00007.13,00185.25,00021.98,02.305,00.018,01.8,,,,,,,01.69,-0.035,0045.5,P,0,1,0,1,1,0,1,1,0
G043.1684+00.0124,043.16844,+00.01244,287.55568,+09.10595,00.11,00.11,00063.60,00006.07,00063.60,00006.86,01.500,00.043,,01.500,00.061,01.500,00.061,15.438,90.000,02.25,-0.114,0026.4,G,0,1,0,1,1,0,1,1,0
G043.1699+00.0115,043.16992,+00.01150,287.55722,+09.10683,00.18,00.16,00021.68,00002.85,00043.79,00007.45,02.132,00.166,01.5,02.253,00.256,02.018,00.214,114.798,38.180,02.34,0.163,0008.4,G,0,1,0,1,1,0,1,0,0
G043.1701+00.0078,043.17006,+00.00783,287.56132,+09.10533,00.14,00.15,00090.46,00008.08,01108.08,00103.11,07.533,00.010,07.4,,,,,,,01.70,-0.064,0052.3,P,0,1,0,1,1,0,1,1,1
G043.1706-00.0003,043.17064,-00.00034,287.56819,+09.10200,00.10,00.10,00115.85,00010.58,00170.72,00016.13,01.821,00.037,01.0,01.978,00.059,01.676,00.047,48.833,04.719,02.07,-0.252,0056.0,G,0,1,0,1,0,0,1,1,0
G043.1716+00.0001,043.17162,+00.00005,287.56829,+09.10305,00.28,00.29,00016.42,00002.81,00051.74,00011.17,02.663,00.314,02.2,02.907,00.505,02.439,00.390,141.201,36.460,02.08,-0.233,0007.6,G,0,1,0,1,1,0,1,1,0
G043.1720+00.0080,043.17204,+00.00802,287.56130,+09.10716,00.78,00.92,00038.57,00003.63,00098.59,00012.52,02.622,00.029,02.1,,,,,,,01.59,-0.103,0023.3,P,0,1,0,1,1,0,1,1,1
G043.1763+00.0248,043.17627,+00.02478,287.54809,+09.11851,00.62,00.62,00024.92,00002.39,00159.42,00021.70,04.514,00.035,04.3,,,,,,,01.55,0.064,0015.2,P,0,0,0,1,1,0,1,0,0
G043.1778-00.5181,043.17775,-00.51806,288.03659,+08.86833,00.25,00.25,00012.49,00001.13,00181.65,00023.04,07.157,00.026,07.0,,,,,,,00.46,-0.016,0026.4,P,0,0,0,1,1,0,0,0,0
G043.2371-00.0453,043.23710,-00.04530,287.63962,+09.14013,00.36,00.36,00029.18,00002.66,00178.78,00020.41,03.775,00.018,03.5,,,,,,,00.93,0.136,0030.3,P,0,0,0,1,0,0,1,0,0
G043.3064-00.2114,043.30636,-00.21136,287.82103,+09.12471,01.59,01.58,00007.85,00000.87,00020.08,00003.25,02.531,00.049,02.0,,,,,,,00.69,-0.011,0010.4,P,0,0,0,1,0,0,1,0,0
G043.7954-00.1274,043.79541,-00.12738,287.97512,+09.59722,00.78,00.76,00019.29,00001.75,00024.58,00002.97,01.829,00.020,01.0,,,,,,,00.44,-0.005,0043.1,P,0,1,0,0,0,0,0,1,0
G043.7960-00.1286,043.79603,-00.12856,287.97653,+09.59715,02.10,02.14,00003.71,00000.47,00009.78,00001.94,02.381,00.063,01.8,,,,,,,00.45,-0.017,0007.4,P,0,1,0,0,0,0,0,1,0
G043.8894-00.7840,043.88940,-00.78399,288.60878,+09.37644,00.11,00.11,00096.50,00008.59,00528.18,00048.82,05.378,00.005,05.2,,,,,,,00.31,0.005,0312.9,P,0,1,0,0,1,0,0,1,0
G043.9675+00.9939,043.96752,+00.99386,287.04596,+10.26750,00.10,00.10,00031.88,00002.86,00041.33,00003.75,01.708,00.027,,01.716,00.039,01.700,00.039,16.116,44.410,00.33,-0.004,0094.8,G,0,0,0,0,0,0,0,0,0
G044.3103+00.0410,044.31025,+00.04098,288.06554,+10.13155,00.14,00.14,00004.37,00000.54,00005.47,00000.94,01.678,00.115,,01.878,00.199,01.500,00.131,48.919,15.240,00.38,0.009,0010.1,G,0,0,0,0,0,0,0,0,0
G044.4228+00.5377,044.42279,+00.53772,287.67082,+10.46108,00.14,00.16,00003.74,00000.51,00004.27,00000.87,01.603,00.132,,01.712,00.212,01.500,00.165,154.475,32.937,00.38,0.019,0008.5,G,0,0,0,0,0,0,0,0,0
G045.0694+00.1323,045.06939,+00.13230,288.34105,+10.84656,00.10,00.10,00026.99,00002.49,00046.17,00004.44,01.962,00.044,01.3,02.066,00.067,01.863,00.058,09.799,09.340,00.55,0.118,0046.0,G,0,1,0,1,1,0,1,0,0
G045.0712+00.1321,045.07116,+00.13206,288.34214,+10.84795,00.24,00.24,00105.64,00009.41,00146.67,00014.65,01.891,00.007,01.2,,,,,,,00.58,-0.021,0180.6,P,0,1,0,1,1,0,1,0,0
G045.1223+00.1321,045.12233,+00.13206,288.36652,+10.89325,00.10,00.10,00299.72,00026.68,02984.27,00274.33,07.458,00.004,07.3,,,,,,,00.77,0.047,0386.6,P,0,1,0,1,1,0,1,1,1
G045.1242+00.1356,045.12424,+00.13560,288.36433,+10.89664,01.01,01.05,00008.43,00000.87,00062.55,00011.86,04.833,00.058,04.6,,,,,,,00.81,0.015,0009.5,P,0,1,0,1,1,0,1,1,0
G045.4545+00.0591,045.45450,+00.05908,288.58879,+11.15325,00.13,00.13,00061.84,00005.51,01029.45,00098.24,07.613,00.009,07.5,,,,,,,00.89,-0.091,0068.6,P,0,1,0,1,0,0,1,1,1
G045.4559+00.0613,045.45595,+00.06133,288.58788,+11.15600,00.28,00.20,00010.18,00001.33,00051.59,00007.58,03.377,00.258,03.0,03.928,00.444,02.903,00.298,97.439,13.260,01.00,-0.006,0009.6,G,0,1,0,1,0,0,1,1,1
G045.4656+00.0452,045.46557,+00.04515,288.60704,+11.15701,00.10,00.10,00048.33,00004.38,00062.26,00005.79,01.703,00.032,,01.856,00.050,01.562,00.040,172.498,03.686,00.87,-0.084,0053.5,G,0,0,0,1,0,0,1,0,0
G045.5431-00.0073,045.54307,-00.00728,288.69060,+11.20141,00.70,00.69,00003.96,00000.42,00049.16,00007.80,05.968,00.050,05.8,,,,,,,00.49,0.029,0007.1,P,0,0,0,1,0,0,0,0,0
G048.6099+00.0270,048.60992,+00.02697,290.12766,+13.92839,00.30,00.29,00008.53,00000.78,00131.22,00015.55,07.059,00.025,06.9,,,,,,,00.48,0.025,0016.7,P,0,0,0,1,0,0,1,0,0
G048.9296-00.2793,048.92959,-00.27926,290.56244,+14.06685,00.26,00.26,00012.15,00001.12,00185.39,00019.22,06.158,00.018,06.0,,,,,,,00.67,0.010,0017.1,P,0,0,0,1,1,0,0,0,0
