#Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G031.2435-00.1103,031.24347,-00.11034,282.18767,-01.55294,00.12,00.12,00133.77,00011.91,00353.06,00032.36,02.691,00.003,02.2,,,,,,,00.33,-0.010,0409.9,P,0,1,0,0,0,0,0,1,0
G031.2448-00.1132,031.24476,-00.11324,282.19067,-01.55330,00.44,00.51,00008.60,00000.80,00037.39,00004.20,03.144,00.020,02.8,,,,,,,00.32,-0.002,0025.6,P,0,1,0,0,0,0,0,0,0
G031.2801+00.0632,031.28008,+00.06322,282.04927,-01.44195,00.14,00.14,00013.05,00001.17,00268.86,00025.67,09.327,00.012,09.2,,,,,,,00.34,-0.012,0037.5,P,0,0,0,0,0,0,0,0,0
G031.3959-00.2570,031.39586,-00.25697,282.38856,-01.48593,00.36,00.34,00006.57,00000.59,00080.96,00010.38,10.034,00.041,09.9,,,,,,,00.36,-0.016,0017.2,P,0,0,0,0,0,0,0,0,0
G031.4130+00.3065,031.41300,+00.30647,281.89289,-01.21237,00.10,00.10,00047.87,00004.26,00954.80,00087.99,09.376,00.004,09.3,,,,,,,00.26,0.003,0183.0,P,0,0,0,0,0,0,0,0,0
G031.5815+00.0744,031.58148,+00.07443,282.17736,-01.16791,00.16,00.14,00005.61,00000.63,00014.48,00001.89,02.409,00.131,01.9,02.768,00.227,02.097,00.149,125.516,09.812,00.36,-0.007,0014.8,G,0,0,0,0,0,0,0,0,0
G032.0297+00.0491,032.02967,+00.04905,282.40438,-00.78062,00.40,00.23,00003.30,00000.44,00026.68,00003.82,04.267,00.339,04.0,05.518,00.653,03.300,00.349,90.188,07.832,00.39,-0.020,0008.9,G,0,0,0,0,0,0,0,0,0
G032.1502+00.1329,032.15017,+00.13287,282.38562,-00.63487,00.13,00.13,00023.24,00002.07,00533.63,00059.66,12.378,00.017,12.3,,,,,,,00.40,-0.004,0056.5,P,0,0,0,0,0,0,0,0,0
G032.2730-00.2258,032.27298,-00.22580,282.75966,-00.69017,00.16,00.15,00018.09,00001.61,00309.28,00034.38,09.832,00.019,09.7,,,,,,,00.40,-0.022,0043.9,P,0,0,0,0,0,0,0,0,0
G032.4727+00.2036,032.47274,+00.20361,282.46894,-00.31585,00.25,00.24,00049.71,00004.43,00097.38,00009.67,02.263,00.008,01.7,,,,,,,00.37,0.009,0132.7,P,0,0,0,0,0,0,0,0,0
G032.7398+00.1940,032.73977,+00.19396,282.59924,-00.08257,00.16,00.16,00003.04,00000.45,00003.39,00000.78,01.585,00.149,,01.619,00.219,01.553,00.202,153.824,90.000,00.34,0.045,0007.9,G,0,0,0,0,1,0,0,0,0
G032.7492-00.0643,032.74920,-00.06427,282.83336,-00.19192,00.13,00.13,00006.43,00000.70,00013.12,00001.67,02.143,00.105,01.5,02.235,00.159,02.054,00.139,139.134,30.918,00.37,-0.010,0016.4,G,0,0,0,0,0,0,0,0,0
G032.7966+00.1909,032.79658,+00.19091,282.62896,-00.03237,00.10,00.10,00279.13,00024.84,03123.37,00281.38,10.013,00.002,09.9,,,,,,,00.39,-0.009,0721.7,P,0,1,0,0,1,0,0,0,0
G032.7982+00.1937,032.79822,+00.19370,282.62613,-00.03066,00.11,00.12,00009.81,00001.00,00017.22,00002.00,01.987,00.078,01.3,02.198,00.130,01.797,00.094,05.462,09.630,00.44,0.047,0021.7,G,0,1,0,0,1,0,0,0,0
G032.9273+00.6060,032.92726,+00.60601,282.31789,+00.27288,00.15,00.15,00044.30,00003.95,00285.57,00031.27,06.811,00.013,06.6,,,,,,,00.31,-0.008,0141.2,P,0,0,0,0,0,0,0,0,0
G033.1328-00.0923,033.13277,-00.09228,283.03355,+00.13683,00.12,00.12,00101.04,00008.99,00378.59,00034.75,04.024,00.004,03.7,,,,,,,00.31,-0.023,0327.6,P,0,0,0,0,0,0,0,0,0
G033.4163-00.0036,033.41627,-00.00358,283.08464,+00.43019,00.37,00.37,00007.14,00000.65,00075.16,00009.16,08.776,00.037,08.6,,,,,,,00.39,-0.012,0017.3,P,0,0,0,0,0,0,0,0,0
G033.8100-00.1864,033.80997,-00.18643,283.42582,+00.69644,00.23,00.23,00057.46,00005.12,00107.63,00010.51,02.189,00.007,01.6,,,,,,,00.38,-0.012,0149.7,P,0,1,0,0,0,0,1,1,0
G033.9145+00.1105,033.91450,+00.11045,283.21011,+00.92463,00.11,00.11,00095.47,00008.50,00842.22,00088.66,10.141,00.011,10.0,,,,,,,00.39,0.034,0244.0,P,0,0,0,0,1,0,0,0,0
G034.0901+00.4365,034.09005,+00.43652,282.99901,+01.22972,01.97,02.07,00003.95,00000.46,00009.62,00001.90,02.405,00.062,01.9,,,,,,,00.39,-0.026,0009.1,P,0,0,0,0,0,0,0,0,0
G034.1978-00.5912,034.19784,-00.59116,283.96296,+00.85698,00.42,00.40,00002.24,00000.43,00010.54,00002.42,03.255,00.458,02.9,03.647,00.753,02.906,00.555,130.702,33.562,00.36,-0.017,0007.2,G,0,0,0,0,0,0,0,0,0
G034.2544+00.1460,034.25437,+00.14597,283.33297,+01.24406,00.34,00.32,00026.22,00002.45,00352.37,00039.13,05.875,00.023,05.7,,,,,,,01.64,0.089,0015.0,P,0,1,0,1,0,0,0,1,1
