   l      b x x    RA   x   Dec     size   type   1-GHz  spectral other
   x       x  x x x  (J2000.0)  x     x      x    flux   index    name(s)
  /deg  /deg /hh mm ss  /dd mm  /arcmin    x      /Jy    x	x
  55.7  +3.4  19 21 20  +21 44    23     S       1?     0.3?	x
  57.2  +0.8  19 34 59  +21 57    12?    S?      1.8    0.35     (4C21.53)
  59.5  +0.1  19 42 33  +23 35    15     S       3?     ?	x
  63.7  +1.1  19 47 52  +27 45     8     F       1.8    0.24	x
  64.5  +0.9  19 50 25  +28 16     8     S?      0.15?  0.5	x
  65.1  +0.6  19 54 40  +28 35   90x50   S       5.5    0.61	x
  65.3  +5.7  19 33 00  +31 10  310x240  S?     42      0.6	x
  65.7  +1.2  19 52 10  +29 26    22     F       5.1    varies   DA_495
  66.0  -0.0  19 57 50  +29 03   31x25?  S       ?      ?	x
  67.6  +0.9  19 57 45  +30 53   50x45?  S       ?      ?	x
  67.7  +1.8  19 54 32  +31 29   15x12   S       1.0    0.61	x
  67.8  +0.5  20 00 00  +30 51    7x5    ?       ?      ?	x
  68.6  -1.2  20 08 40  +30 37    23     ?       1.1    0.2	x
  69.0  +2.7  19 53 20  +32 55    80?    ?     120?     varies   CTB_80
  69.7  +1.0  20 02 40  +32 43   16x14   S       2.0    0.7	x
  70.0 -21.5  21 24 00  +19 23  330x240  S       ?      ?	x
  73.9  +0.9  20 14 15  +36 12    27     S?      9      0.23	x
  74.0  -8.5  20 51 00  +30 40  230x160  S     210      varies   Cygnus_Loop
  74.9  +1.2  20 16 02  +37 12    8x6    F       9      0.3      CTB_87
  76.9  +1.0  20 22 20  +38 43     9     C       2?     ?	x
  78.2  +2.1  20 20 50  +40 26    60     S     320      0.51     DR4,gamma_Cygni_SNR
  82.2  +5.3  20 19 00  +45 30   95x65   S     120?     0.5?     W63
  83.0  -0.3  20 46 55  +42 52    9x7    S       1      0.4	x
  84.2  -0.8  20 53 20  +43 27   20x16   S      11      0.5	x
  85.4  +0.7  20 50 40  +45 22    24?    S       ?      0.2	x
  85.9  -0.6  20 58 40  +44 53    24     S       ?      0.2	x
  89.0  +4.7  20 45 00  +50 35  120x90   S     220      0.38     HB21
  93.3  +6.9  20 52 25  +55 21   27x20   C?      9      0.45     DA_530,4C(T)55.38.1
  93.7  -0.2  21 29 20  +50 50    80     S      65      0.65     CTB_104A,DA_551
  94.0  +1.0  21 24 50  +51 53   30x25   S      13      0.45     3C434.1
  96.0  +2.0  21 30 30  +53 59    26     S      0.35    0.6	x
 106.3  +2.7  22 27 30  +60 50   60x24   C?      6      0.6	x
